state,district,census_code,cluster,cluster_name,silhouette,gmm_max_probability,fuzzy_membership,label_margin,confidence
Andaman Nicobar Islands,Nicobar,35001.0,3,"High development, strong schooling",-0.018181771827454986,0.9999415027156429,0.14274069272054546,1.003542974175656,borderline
Andaman Nicobar Islands,North  & Middle Andaman,35002.0,2,"High development, strong clean energy",0.05437909538470452,0.7473452547666065,0.17874497388029953,1.106762815133978,borderline
Andaman Nicobar Islands,South Andaman,35003.0,2,"High development, strong clean energy",0.04024968277238478,0.7482613833613381,0.18813216150478057,1.0310384795213359,borderline
Andhra Pradesh,Anantapur,28012.0,0,"Middle development, strong clean energy",0.13990426931429775,0.8761064532765261,0.2768101672844608,1.3395939162151134,typical
Andhra Pradesh,Chittoor,28013.0,0,"Middle development, strong clean energy",0.19244546154199804,0.9349593007971672,0.28914000165581233,1.477557045761698,firm
Andhra Pradesh,East Godavari,28004.0,0,"Middle development, strong clean energy",0.15236052488303362,0.9679413591953555,0.2525591589330083,1.3014407754041757,typical
Andhra Pradesh,Guntur,28007.0,0,"Middle development, strong clean energy",0.20670480833209198,0.5154389026129758,0.2918991824021897,1.356902352816394,firm
Andhra Pradesh,Krishna,28006.0,0,"Middle development, strong clean energy",0.16431780625023232,0.6199678778709742,0.2832889589179056,1.2680133675858418,typical
Andhra Pradesh,Kurnool,28011.0,0,"Middle development, strong clean energy",0.19096262989316817,0.9623767899865757,0.274308140794602,1.4424460145043336,firm
Andhra Pradesh,Prakasam,28008.0,0,"Middle development, strong clean energy",0.2053739603420529,0.9660904698174267,0.25025177824176664,1.336963284663932,typical
Andhra Pradesh,Srikakulam,28001.0,0,"Middle development, strong clean energy",0.19429180741371674,0.9637791536865263,0.3121058107524854,1.4740559661019699,firm
Andhra Pradesh,Sri Potti Sriramulu Nellore,28009.0,0,"Middle development, strong clean energy",0.21162198566137394,0.9621452428969911,0.27403818183597567,1.3790426467373331,firm
Andhra Pradesh,Visakhapatnam,28003.0,0,"Middle development, strong clean energy",0.1302302160290711,0.9589614891436181,0.2681167304411005,1.295432184825944,typical
Andhra Pradesh,Vizianagaram,28002.0,0,"Middle development, strong clean energy",0.22143417891711503,0.9697771613111126,0.3024148340835448,1.5276662428531889,firm
Andhra Pradesh,West Godavari,28005.0,0,"Middle development, strong clean energy",0.1915695976190193,0.7589147433109903,0.2896402834040492,1.3316618845359898,typical
Andhra Pradesh,Y.S.R.,28010.0,0,"Middle development, strong clean energy",0.19338719784871222,0.959717531717935,0.3313253347109742,1.474501040459697,firm
Arunachal Pradesh,Anjaw,12016.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.01488965815408526,0.9998632503200321,0.1876603414332229,1.1724774893227863,typical
Arunachal Pradesh,Changlang,12009.0,1,"Low development, high tobacco & alcohol use and weak maternal care",-0.014273740340828513,0.9814123501777379,0.24790757183410653,1.305689041942148,typical
Arunachal Pradesh,Dibang Valley,12013.0,1,"Low development, high tobacco & alcohol use and weak maternal care",-0.019705787253795487,0.9997569511912838,0.18105004373018754,1.095965236241209,borderline
Arunachal Pradesh,East Kameng,12003.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.08424181526320591,0.9995773464932158,0.3585227151170806,1.5824803130867322,firm
Arunachal Pradesh,East Siang,12007.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.15190198236309935,0.9999998208398876,0.3168317736727267,1.5392142554921626,firm
Arunachal Pradesh,Kra Daadi,,1,"Low development, high tobacco & alcohol use and weak maternal care",0.06626518178093489,0.99624937838617,0.27780911284746646,1.37194591094287,firm
Arunachal Pradesh,Kurung Kumey,12012.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.0543723776838708,0.9994841448187092,0.2628654775355177,1.3786862901144035,firm
Arunachal Pradesh,Lohit,12015.0,1,"Low development, high tobacco & alcohol use and weak maternal care",-0.04232227570239165,0.9805238574769449,0.20853436379364462,1.1605841609704497,typical
Arunachal Pradesh,Longding,,1,"Low development, high tobacco & alcohol use and weak maternal care",0.13880378452775355,0.9999854250606521,0.3279685565989582,1.5652136228486977,firm
Arunachal Pradesh,Lower Dibang Valley,12014.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.01475005396899605,0.9994445244054799,0.21916873760568423,1.250730239414299,typical
Arunachal Pradesh,Lower Subansiri,12011.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.07343948754714386,0.9998820269417519,0.24364350619665873,1.377977411685613,firm
Arunachal Pradesh,Namsai,,1,"Low development, high tobacco & alcohol use and weak maternal care",0.10319598799228383,0.9989574954082032,0.34220646859541054,1.6337243081605797,firm
Arunachal Pradesh,Papum Pare,12004.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.11736538476471119,0.99978776797982,0.3300181677291079,1.5559771285763397,firm
Arunachal Pradesh,Siang,,1,"Low development, high tobacco & alcohol use and weak maternal care",0.1284946382496311,0.9999820913009219,0.30961111377822315,1.6041686571689175,firm
Arunachal Pradesh,Tawang,12001.0,1,"Low development, high tobacco & alcohol use and weak maternal care",-0.0033405827335954387,0.9978421734420021,0.19725274299187173,1.2069458140409481,typical
Arunachal Pradesh,Tirap,12010.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.15589167039854052,0.9999278980181219,0.42336379825113063,1.9163447869271504,firm
Arunachal Pradesh,Upper Siang,12008.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.1860411710686769,0.9999956459326714,0.37638127571829894,1.791015422023466,firm
Arunachal Pradesh,Upper Subansiri,12005.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.14042013230262107,0.9999962874977077,0.31854037653207673,1.585498943280294,firm
Arunachal Pradesh,West Kameng,12002.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.10489840332333017,0.9993454477599985,0.28056661560848994,1.3867175982028588,firm
Arunachal Pradesh,West Siang,12006.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.15369895327257566,0.9999998970016701,0.2687016614499828,1.4570658955892222,firm
Assam,Baksa,18025.0,7,"Middle development, weak women's agency",0.0027001894602006337,0.538468649365266,0.2530691849689717,1.2444806439596616,typical
Assam,Barpeta,18004.0,7,"Middle development, weak women's agency",0.0797362605581257,0.834823531558795,0.28530237395107727,1.3489694628967845,typical
Assam,Biswanath,,4,"Middle development, weak schooling",0.12187604326505252,0.7288412938260419,0.21485792828536662,1.1339225890640778,borderline
Assam,Bongaigaon,18020.0,7,"Middle development, weak women's agency",0.07982295645669482,0.9369801278271346,0.3558206280917422,1.5397292957836484,firm
Assam,Cachar,18017.0,7,"Middle development, weak women's agency",0.01277424877834586,0.9943389010211656,0.22638263051422342,1.1223476827264525,borderline
Assam,Charaideo,,7,"Middle development, weak women's agency",-0.028511788597671964,0.7905332099907121,0.2369846906519348,1.140221131192591,borderline
Assam,Chirang,18021.0,4,"Middle development, weak schooling",0.09410516430410214,0.9288590705614447,0.2321581075437124,1.0348347606165624,borderline
Assam,Darrang,18026.0,7,"Middle development, weak women's agency",0.03211072752436002,0.8266545821213891,0.2583581351182329,1.1949588752752982,typical
Assam,Dhemaji,18009.0,4,"Middle development, weak schooling",0.089562366369059,0.889672228113264,0.2119058383947156,1.1554453278899952,typical
Assam,Dhubri,18002.0,6,"Low development, weak clean energy and weak civil registration",0.052670106893004026,0.5265284537153876,0.22009594473045324,1.0901028797590835,borderline
